id,country,ccode,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,location,participants_category,participants,protesteridentity,protesterdemand1,protesterdemand2,protesterdemand3,protesterdemand4,stateresponse1,stateresponse2,stateresponse3,stateresponse4,stateresponse5,stateresponse6,stateresponse7,sources,notes,entities,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Coordinates0,Latitude0,Longitude0,Coordinates1,Latitude1,Longitude1,Coordinates2,Latitude2,Longitude2,Coordinates3,Latitude3,Longitude3,Coordinates4,Latitude4,Longitude4,Coordinates5,Latitude5,Longitude5,Coordinates6,Latitude6,Longitude6,Coordinates7,Latitude7,Longitude7,Coordinates8,Latitude8,Longitude8,Coordinates9,Latitude9,Longitude9,Coordinates10,Latitude10,Longitude10,Coordinates11,Latitude11,Longitude11,Coordinates12,Latitude12,Longitude12,Coordinates13,Latitude13,Longitude13,Coordinates14,Latitude14,Longitude14,Coordinates15,Latitude15,Longitude15,Coordinates16,Latitude16,Longitude16,Coordinates17,Latitude17,Longitude17,Coordinates18,Latitude18,Longitude18
421990002,Dominican Republic,42,1990,North America,1,2,13.0,8.0,1990.0,14.0,8.0,1990.0,1.0,national,,1000s,unspecified,"price increases, tax policy",,,,shootings,killings,arrests,crowd dispersal,,,,"1. two die as protesters clash with police the associated press, august 13, 1990, monday, am cycle, international news, 320 words 2. caribbean nation s strike leaves 1 dead, 5 injured the globe and mail canada , august 14, 1990 tuesday, 307 words, reut 3. second day of clashes over price increases the associated press, august 15, 1990, wednesday, pm cycle, international news, 262 words 4. 8 killed in dominican austerity protest the toronto star, august 15, 1990, wednesday, final edition, news; pg. a16, 314 words, reuter ;","security forces opened fire on protesters monday at the start of a two day strike over government imposed price increases. police said two people were killed and two others wounded. the general strike, organized by nine unions, paralyzed this caribbean nation of 7 million people. stores, factories and government offices were closed and most public transportation was halted. police said about 300 people were arrested in the capital of santo domingo and four other cities. in santo domingo, one man was killed and two were injured when police and soldiers opened fire on protesters who erected flaming barricades and threw rocks and bottles at cars, according to police. security forces also used tear gas and clubs to disperse protesters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421990003,Dominican Republic,42,1990,North America,1,3,28.0,9.0,1990.0,28.0,9.0,1990.0,0.0,Santo Domingo,,100s,popular organizations collective,"price increases, tax policy",,,,arrests,,,,,,,"1. driver stoned to death during protest strike the associated press, september 28, 1990, friday, am cycle, international news, 318 words;","protesters stoned to death a taxi driver friday during a three day strike against government authorized price increases, police said. one other person was killed and 30 were injured including a couple burned in their car in strike related violence since wednesday. police said they arrested 300 people, but strike organizers claimed friday at least 1,000 protesters had been detained. the strike was called to protest a government belt tightening program imposed in august to control inflation and bolster the caribbean nation s sagging economy. the country s nine major unions did not take part, limiting the impact of the strike. government subsidies have been lifted from many basic consumer items such as flour and rice. in some cases, prices doubled or tripled.",'Santo Domingo',"'Santo Domingo',Dominican Republic",,,,,,,,,,,,,,,,,,,Santo Domingo,18.471850000000074,-69.89138999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421990004,Dominican Republic,42,1990,North America,1,4,19.0,11.0,1990.0,19.0,11.0,1990.0,0.0,national,,100s,labor unions and opposition groups,"price increases, tax policy",,,,arrests,,,,,,,"1. bombs explode, protesters battle police in dominican strike the associated press, november 19, 1990, monday, am cycle, international news, 425 words;","dominicans angry over the government s economic program paralyzed much of the country monday on the first day of a general strike. four people were reported wounded in clashes and bombings. president joaquin balaguer has called the strike a subversive attempt to overthrow his government. authorities have arrested hundreds of people. schools and businesses were closed and thousands of people were without public transportation as the three day strike began in this caribbean nation of 6 million people. six unions and two main political parties called the walkout to demand increased food, medicine and gasoline, as well as other measures to make life easier for consumers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511990000,Jamaica,51,1990,North America,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701990001,Mexico,70,1990,North America,1,1,1.0,1.0,1990.0,2.0,1.0,1990.0,0.0,Taxco,,50,national action party,"political behavior, process",,,,crowd dispersal,shootings,,,,,,"1. 40 hurt in mexico in election protest the toronto star, january 3, 1990, wednesday, me2, news; pg. a18, 175 words, reuter 2. in a mexican town after an election, two rival mayors and four bodies the new york times, january 28, 1990, sunday, late edition final, section 1; part 1, page 15, column 1; foreign desk, 1025 words, by larry rohter, special to the new york times;","as 40 people were injured, it is likely that at least 50 people participated in the protest, which was against election fraud.",'Taxco',"'Taxco',Mexico",,,,,,,,,,,,,,,,,,,"Taxco, del Valle, Río Bravo, Tamaulipas, 88980",25.97943002636518,-98.0783349080376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701990002,Mexico,70,1990,North America,1,2,7.0,1.0,1990.0,7.0,3.0,1990.0,1.0,Guerrero state,,350,democratic revolutionary party,"political behavior, process",,,,crowd dispersal,killings,,,,,,"1. 5 die in mexican crackdown the new york times, march 7, 1990, wednesday, late edition final, section a; page 6, column 4; foreign desk, 80 words, ap;","the police broke up opposition party demonstrations at eight city halls in guerrero state today, and at least three police officers and two activists were killed, government and party officials said. the center left democratic revolutionary party had paralyzed 20 of the southwestern state s 75 city governments for three months, protesting alleged fraud in dec. 3 elections. government officials said about 200 state policemen and cadets were called out to remove 350 people.",'Guerrero',"'Guerrero',Mexico",,,,,,,,,,,,,,,,,,,"México, Acapulco de Juárez, Guerrero",16.91095000000007,-99.84444999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701990003,Mexico,70,1990,North America,1,3,6.0,4.0,1990.0,6.0,4.0,1990.0,0.0,western Michoacan state,,200,armed leftists,"political behavior, process",,,,arrests,,,,,,,"1. salvadoran battles leave nine dead the toronto star, april 7, 1990, saturday, saturday second edition, news; pg. a12, 438 words, reuter 2. imelda s looting hurt bank, trial told the toronto star, april 6, 1990, friday, final edition, news; pg. a20, 462 words, reuter ;","this was one of numerous sit ins alleging electoral fraud in the previous december elections. while the source article claimed that the sit in was lengthy it gives no clear indication of the actual start date, but it is likely that it began sometime in january.",'Michoacan',"'Michoacan',Mexico",,,,,,,,,,,,,,,,,,,"México, Uruapan, Michoacán de Ocampo",19.40668000000005,-102.04077999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701990004,Mexico,70,1990,North America,1,4,26.0,11.0,1990.0,26.0,11.0,1990.0,0.0,Mexico City,,5000,leftist demonstrators,"political behavior, process",,,,ignore,,,,,,,"1. free trade tops agenda of bush visit to mexico the toronto star, november 27, 1990, tuesday, final edition, business today; pg. b3, 267 words, reuter ;",protests were against mexican participation in nafta.,'Mexico City',"'Mexico City',Mexico",,,,,,,,,,,,,,,,,,,"Mexico, Cuauhtémoc, Ciudad de México",19.431940000000054,-99.13314999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701990005,Mexico,70,1990,North America,1,5,15.0,12.0,1990.0,15.0,12.0,1990.0,1.0,unspecified,,50,democratic revolutionary party prd,"political behavior, process",,,,crowd dispersal,killings,,,,,,"1. mexico s push for rights getting off to rough start; agencies slow to follow president s lead the washington post, december 22, 1990, saturday, final edition, first section; page a8, 831 words, edward cody, washington post foreign service;",three persons were killed and as many as 50 injured last week in a clash between riot police and prd activists protesting what they contend was government cheating in nov. 11 state elections. the violence was the latest flare up in a series of protests and roadblocks by opposition groups unwilling to accept the official count.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901990001,Guatemala,90,1990,Central America,1,1,2.0,12.0,1990.0,2.0,12.0,1990.0,1.0,Santiago Atitlan,,1000s,,police brutality,,,,shootings,killings,,,,,,"guatemala troops said to kill 11 protesting raid the new york times, december 3, 1990, monday, late edition final, section a; page 7; column 1; foreign desk, 417 words, reuters guatemalan troops fire on protest, 11 killed the toronto star, december 3, 1990, monday, ontario edition, news; pg. a14, 425 words;","troops gunned down at least 11 civilians from this central guatemalan town today after thousands of townspeople marched on a local army compound to protest a military raid, witnesses said. local residents said the army raked a crowd of some 2,000 to 3,000 civilians, mostly of indigenous descent, with machine gun fire after they had marched on the barracks.",'Santiago Atitlan',"'Santiago Atitlan',Guatemala",,,,,,,,,,,,,,,,,,,"Santiago Atitlán, Sololá",14.638494700000024,-91.23002490699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911990001,Honduras,91,1990,Central America,1,1,6.0,3.0,1990.0,6.0,3.0,1990.0,0.0,National,,30000,labor union,"political behavior, process",labor wage dispute,,,ignore,,,,,,,"another homeland explodes in violence the toronto star, march 7, 1990, wednesday, me2, news; pg. a22, 261 words, reuter ;","30,000 workers went on strike. not clear when this ended so it is coded for the last day there is information. not clear what the government response was. because of the size it appears as if this is national.",'National',"'National',Honduras",,,,,,,,,,,,,,,,,,,Honduras,14.824173968000025,-86.60026424299997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911990002,Honduras,91,1990,Central America,1,2,11.0,6.0,1990.0,11.0,6.0,1990.0,0.0,National,,4000,,"political behavior, process","price increases, tax policy",,,ignore,,,,,,,"postal workers strike; striking banana workers soften demands the associated press, july 4, 1990, wednesday, am cycle, international news, 346 words strikes in honduras financial times london,england , july 6, 1990, friday, section i; american news; pg. 4, 98 words, tim coone, managua;",health workers on strike to protest government privatization of food security and cleaning services. this also spread to the post offices. there were also massive strikes against chiquita banana company and a texaco oil refinery but these do not meet our coding criteria since they were aimed at the companies rather than the government. not clear when this ended so it is coded for the last day that there are articles describing it.,'National',"'National',Honduras",,,,,,,,,,,,,,,,,,,Honduras,14.824173968000025,-86.60026424299997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921990000,El Salvador,92,1990,Central America,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931990001,Nicaragua,93,1990,Central America,1,1,11.0,5.0,1990.0,16.0,5.0,1990.0,0.0,Managua,,60000,"unions, sandinistas","political behavior, process",labor wage dispute,,,crowd dispersal,accomodation,,,,,,"big strike by state workers in nicaragua the new york times, may 12, 1990, saturday, late edition final, section 1; page 3, column 4; foreign desk, 479 words, ap strikes testing chamorro s rule the new york times, may 16, 1990, wednesday, late edition final, section a; page 1, column 1; foreign desk, 910 words, by mark a. uhlig, special to the new york times nicaragua begs for cash amid strike wave the times, may 16, 1990, wednesday, overseas news, 597 words strike ended in nicaragua; chamorro gives big raises the new york times, may 17, 1990, thursday, late edition final, section a; page 14, column 1; foreign desk, 1100 words, by mark a. uhlig, special to the new york times;","after president chamorro took office, government workers staged a sit in strike, occupying offices government buildings, demanding pay increases. the strikes protests are widely seen as an attempt by sandinista supporters in the bureaucracy to damage the new administration s policy efforts. riot police intervene periodically to get ministers and others to their offices. ultimately, despite threatening to fire all strikers, the government agreed to many demands and ended the strike.",'Managua',"'Managua',Nicaragua",,,,,,,,,,,,,,,,,,,Managua,12.117200000000025,-86.24080999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931990002,Nicaragua,93,1990,Central America,1,2,9.0,7.0,1990.0,12.0,7.0,1990.0,1.0,"Managua, nationwide",,100s,"unions, sandinistas","political behavior, process",labor wage dispute,,,crowd dispersal,arrests,killings,accomodation,,,,"sandinista protests turn violent; 4 are reported killed in managua the new york times, july 10, 1990, tuesday, late edition final, section a; page 1, column 5; foreign desk, 1146 words, by mark a. uhlig, special to the new york times 4 dead in managua strike violence; sandinista backed work stoppage targets chamorro s policies the washington post, july 10, 1990, tuesday, final edition, first section; page a1, 925 words, lee hockstader, washington post foreign service nicaragua police raze roadblocks the new york times, july 11, 1990, wednesday, late edition final, section a; page 3, column 1; foreign desk, 977 words, by mark a. uhlig, special to the new york times managua clashes continue, with fewer injuries; army, police tear down barricades of government workers striking over economy the washington post, july 11, 1990, wednesday, final edition, first section; page a29, 830 words, lee hockstader, washington post foreign service chamorro moves to placate unions the new york times, july 12, 1990, thursday, late edition final, section a; page 5, column 1; foreign desk, 729 words, by mark a. uhlig, special to the new york times sandinistas end strike as chamorro yields on key demands the new york times, july 13, 1990, friday, late edition final, section a; page 3, column 1; foreign desk, 897 words, by mark a. uhlig, special to the new york times;","sandinista led strike of government workers turned violent, including violence between the strikers and anti sandinista crowds. riot police are heavily involved. protests barricade streets all over the capital, burn tires, etc. specific numbers not given, but more than 70 arrests, 5 deaths and many injuries reported. protests and strikes end with accommodation by the government.",'Managua',"'Managua',Nicaragua",,,,,,,,,,,,,,,,,,,Managua,12.117200000000025,-86.24080999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941990000,Costa Rica,94,1990,Central America,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951990001,Panama,95,1990,Central America,1,1,3.0,1.0,1990.0,3.0,1.0,1990.0,0.0,Panama City,,20000,unspecified,removal of politician,,,,accomodation,,,,,,,"1. noriega s surrender: the prosecution; u.s. to start noriega case with miami indictment the new york times, january 4, 1990, thursday, late edition final, section a; page 12, column 1; foreign desk, 914 words, by neil a. lewis, special to the new york times 2. noriega s surrender: overview; noriega gives himself up to u.s. military; is flown to florida to face drug charges the new york times, january 4, 1990, thursday, late edition final, section a; page 1, column 6; foreign desk, 1365 words, by andrew rosenthal, special to the new york times;","general noriega left the mission at 8:48 p.m. and was aboard the c 131 transport plane by 9:08 p.m. his surrender followed a demonstration by an estimated 20,000 panamanians who filled five blocks near the vatican embassy carrying signs denouncing him, including one that read no mercy in six languages. in an interview on the abc news program nightline, archbishop marcos mcgrath of panama said the demonstration might have nudged general noriega into making his final decision to surrender.",'Panama City',"'Panama City',Panama",,,,,,,,,,,,,,,,,,,"Panama City, Panamá",8.952390000000037,-79.53539999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001990001,Colombia,100,1990,South America,1,1,13.0,2.0,1990.0,13.0,2.0,1990.0,0.0,cartagena,,5000,workers,"political behavior, process",,,,ignore,,,,,,,"xinhua general news service, february 14, 1990, wednesday, 5,000 workers demonstrate in colombia ;","on the eve of the anti drug summit to be attended by three latin american presidents and u.s. president george bush, some 5,000 protesting workers took to the streets tuesday, one day before the nationwide protest had been scheduled. the workers, all affiliated to the country s four most important trade unions, moved up the scheduled day of protest due to new security measures adopted by colombian authorities that prohibit all types of demonstrations after 24:00 wednesday, the day of the presidential summit. one of the protest organizers said the demonstration aimed to protest the government s wage policy and the high cost of living.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
